url,url2
http://staging.redlobster.ca/menus/lunch/wild-caught-flounder-lf,http://staging.redlobster.com/menus/lunch/wild-caught-flounder-lf
http://staging.redlobster.ca/menus/lunch/classic-shrimp-linguini-alfredo,http://staging.redlobster.com/menus/lunch/classic-shrimp-linguini-alfredo
http://staging.redlobster.ca/menus/lunch/crab-linguini-alfredo-lc,http://staging.redlobster.com/menus/lunch/crab-linguini-alfredo-lc
http://staging.redlobster.ca/menus/lunch/classic-cajun-chicken-linguini-alfredo,http://staging.redlobster.com/menus/lunch/classic-cajun-chicken-linguini-alfredo
http://staging.redlobster.ca/menus/lunch/hand-breaded-shrimp,http://staging.redlobster.com/menus/lunch/hand-breaded-shrimp
http://staging.redlobster.ca/menus/lunch/crunchy-popcorn-shrimp,http://staging.redlobster.com/menus/lunch/crunchy-popcorn-shrimp
http://staging.redlobster.ca/menus/lunch/garlic-shrimp,http://staging.redlobster.com/menus/lunch/garlic-shrimp
http://staging.redlobster.ca/menus/lunch/create-your-own-lunch,http://staging.redlobster.com/menus/lunch/create-your-own-lunch
http://staging.redlobster.ca/menus/lunch/garlic-grilled-shrimp,http://staging.redlobster.com/menus/lunch/garlic-grilled-shrimp
http://staging.redlobster.ca/menus/lunch/admirals-feast,http://staging.redlobster.com/menus/lunch/admirals-feast
http://staging.redlobster.ca/menus/lunch/shrimp-linguini-alfredo-lu,http://staging.redlobster.com/menus/lunch/shrimp-linguini-alfredo-lu
http://staging.redlobster.ca/menus/lunch/parrot-isle-jumbo-coconut-shrimps,http://staging.redlobster.com/menus/lunch/parrot-isle-jumbo-coconut-shrimps
http://staging.redlobster.ca/menus/lunch/seaside-shrimp-trio,http://staging.redlobster.com/menus/lunch/seaside-shrimp-trio
http://staging.redlobster.ca/menus/lunch/shrimp-lover-s-tuesday,http://staging.redlobster.com/menus/lunch/shrimp-lover-s-tuesday
http://staging.redlobster.ca/menus/lunch/walts-favorite-shrimp,http://staging.redlobster.com/menus/lunch/walts-favorite-shrimp
http://staging.redlobster.ca/menus/lunch/create-your-own-combination,http://staging.redlobster.com/menus/lunch/create-your-own-combination
http://staging.redlobster.ca/menus/lunch/canadian-snow-crab-legs,http://staging.redlobster.com/menus/lunch/canadian-snow-crab-legs
http://staging.redlobster.ca/menus/lunch/bakes-crab-linguini-alfredo,http://staging.redlobster.com/menus/lunch/bakes-crab-linguini-alfredo
http://staging.redlobster.ca/menus/lunch/bar-harbor-lobster-bake,http://staging.redlobster.com/menus/lunch/bar-harbor-lobster-bake
http://staging.redlobster.ca/menus/lunch/roasted-maritime-lobster-bake,http://staging.redlobster.com/menus/lunch/roasted-maritime-lobster-bake
http://staging.redlobster.ca/menus/lunch/ultimate-feast,http://staging.redlobster.com/menus/lunch/ultimate-feast
http://staging.redlobster.ca/menus/lunch/fire-grilled-lobster-shrimp-and-salmon,http://staging.redlobster.com/menus/lunch/fire-grilled-lobster-shrimp-and-salmon
http://staging.redlobster.ca/menus/lunch/live-maritime-lobster,http://staging.redlobster.com/menus/lunch/live-maritime-lobster
http://staging.redlobster.ca/menus/lunch/lobster-garlic-linguini,http://staging.redlobster.com/menus/lunch/lobster-garlic-linguini
http://staging.redlobster.ca/menus/lunch/rock-lobster-tail,http://staging.redlobster.com/menus/lunch/rock-lobster-tail
http://staging.redlobster.ca/menus/lunch/cheese-crusted-fresh-tilapia,http://staging.redlobster.com/menus/lunch/cheese-crusted-fresh-tilapia
http://staging.redlobster.ca/menus/lunch/hand-battered-fish-and-chips-lu,http://staging.redlobster.com/menus/lunch/hand-battered-fish-and-chips-lu
http://staging.redlobster.ca/menus/lunch/wild-caught-flounder-lu,http://staging.redlobster.com/menus/lunch/wild-caught-flounder-lu
http://staging.redlobster.ca/menus/lunch/salmon-new-orleans,http://staging.redlobster.com/menus/lunch/salmon-new-orleans
http://staging.redlobster.ca/menus/lunch/new-york-strip-and-rock-lobster-tail,http://staging.redlobster.com/menus/lunch/new-york-strip-and-rock-lobster-tail
http://staging.redlobster.ca/menus/lunch/fire-grilled-peppercorn-sirloin,http://staging.redlobster.com/menus/lunch/fire-grilled-peppercorn-sirloin
http://staging.redlobster.ca/menus/lunch/maple-glazed-chicken-l,http://staging.redlobster.com/menus/lunch/maple-glazed-chicken-l
http://staging.redlobster.ca/menus/lunch/cajun-chicken-linguini-alfredo-l,http://staging.redlobster.com/menus/lunch/cajun-chicken-linguini-alfredo-l
http://staging.redlobster.ca/menus/lunch/grilled-new-york-strip-steak,http://staging.redlobster.com/menus/lunch/grilled-new-york-strip-steak
http://staging.redlobster.ca/menus/lunch/fire-grilled-peppercorn-sirloin-and-shrimp,http://staging.redlobster.com/menus/lunch/fire-grilled-peppercorn-sirloin-and-shrimp
http://staging.redlobster.ca/menus/lunch/wood-grilled-tacos-lu,http://staging.redlobster.com/menus/lunch/wood-grilled-tacos-lu
http://staging.redlobster.ca/menus/lunch/new-england-clam-chowder,http://staging.redlobster.com/menus/lunch/new-england-clam-chowder
http://staging.redlobster.ca/menus/lunch/langostino-and-lobster-bisque,http://staging.redlobster.com/menus/lunch/langostino-and-lobster-bisque
http://staging.redlobster.ca/menus/lunch/creamy-potato-bacon,http://staging.redlobster.com/menus/lunch/creamy-potato-bacon
http://staging.redlobster.ca/menus/lunch/caesar-salad,http://staging.redlobster.com/menus/lunch/caesar-salad
http://staging.redlobster.ca/menus/lunch/new-england-clam-chowder,http://staging.redlobster.com/menus/lunch/new-england-clam-chowder
http://staging.redlobster.ca/menus/lunch/langostino-and-lobster-bisque,http://staging.redlobster.com/menus/lunch/langostino-and-lobster-bisque
http://staging.redlobster.ca/menus/lunch/creamy-potato-bacon,http://staging.redlobster.com/menus/lunch/creamy-potato-bacon
http://staging.redlobster.ca/menus/lunch/caesar-salad,http://staging.redlobster.com/menus/lunch/caesar-salad
